complaint_text,complaint_type,location,priority
"the wifi in lab is slow, cant even browse 📊",Electricity,Laboratory,Medium
"the profs r nt available for doubts, how r we supposed to learn? 🤔",General,Main Building,Low
"the hostel c rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel A,Medium
"i forgot my id card in the lab, can anyone pls return it? 📝",IT / Network,Laboratory,Low
"the hostel b rooms r too noisy, cant sleep 🛋️",Hostel,Hostel D,Medium
"the water supply in hostel d is dirty, cant drink 🚽",Water Supply,Hostel C,High
"the lab equipment is broken, how r we supposed to do experiments? 🧬",IT / Network,Laboratory,Medium
"the mess food is too spicy, cant eat 🍴",Mess / Canteen,Hostel B,Low
"the campus is too dirty, nt clean 🚮",General,Campus (General),Medium
"the auditorium seats r too uncomfortable, cant sit 🛋️",Civil / Infrastructure,Auditorium,High
"the library is too quiet, cant even talk 🗣️",Library,Library,Low
"the hostel a rooms r too cold, no heater 🥶",Hostel,Hostel C,Medium
"the sports ground is too far, cant walk 🏃‍♂️",Transport,Sports Ground,Medium
"the canteen food is too expensive, cant afford it 🍔",Mess / Canteen,Hostel D,High
"the wifi in hostel b is slow, cant even browse 📊",Electricity,Hostel A,Medium
"the profs r nt teaching well, we r nt learning anything 📚",General,Main Building,Low
"the hostel d rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel B,Medium
"the water supply in hostel c is broken, no water 🚽",Water Supply,Hostel D,High
"the lab equipment is outdated, how r we supposed to do experiments? 🧬",Civil / Infrastructure,Laboratory,Medium
"the mess food is too oily, bad for health 🥗",Mess / Canteen,Hostel C,Low
"the campus is too big, cant find my way around 🗺️",General,Campus (General),Medium
"the auditorium ac is nt working, too hot 🥵",Civil / Infrastructure,Auditorium,High
"the library books r too old, nt relevant to our course 📖",Library,Library,Low
"the hostel b rooms r too cold, no heater 🥶",Hostel,Hostel A,Medium
"the sports ground floods every time it rains, cant play 🏀",Civil / Infrastructure,Sports Ground,Medium
"the canteen food is too spicy, cant eat 🌶️",Mess / Canteen,Hostel D,High
"the wifi in lab is slow, cant even browse 📊",Electricity,Laboratory,Medium
"the profs r nt available for doubts, how r we supposed to learn? 🤔",General,Main Building,Low
"the hostel c rooms r too noisy, cant sleep 🛋️",Hostel,Hostel C,Medium
"i lost my book in the lab, has anyone found it? 📖",General,Laboratory,Low
"the hostel a rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel B,Medium
"the water supply in hostel d is dirty, cant drink 🚽",Water Supply,Hostel A,High
"the lab equipment is broken, how r we supposed to do experiments? 🧬",IT / Network,Laboratory,Medium
"the mess food is too expensive, cant afford it 🍔",Mess / Canteen,Hostel C,Low
"the campus is too dirty, nt clean 🚮",General,Campus (General),Medium
"the auditorium seats r too uncomfortable, cant sit 🛋️",Civil / Infrastructure,Auditorium,High
"the library is too quiet, cant even talk 🗣️",Library,Library,Low
"the hostel d rooms r too cold, no heater 🥶",Hostel,Hostel B,Medium
"the sports ground is too far, cant walk 🏃‍♂️",Transport,Sports Ground,Medium
"the canteen food is too oily, bad for health 🥗",Mess / Canteen,Hostel A,High
"the wifi in hostel b is slow, cant even browse 📊",Electricity,Hostel C,Medium
"the profs r nt teaching well, we r nt learning anything 📚",General,Main Building,Low
"the hostel c rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel D,Medium
"the water supply in hostel a is broken, no water 🚽",Water Supply,Hostel B,High
"the lab equipment is outdated, how r we supposed to do experiments? 🧬",Civil / Infrastructure,Laboratory,Medium
"the mess food is too spicy, cant eat 🍴",Mess / Canteen,Hostel B,Low
"the campus is too big, cant find my way around 🗺️",General,Campus (General),Medium
"the auditorium ac is nt working, too hot 🥵",Civil / Infrastructure,Auditorium,High
"the library books r too old, nt relevant to our course 📖",Library,Library,Low
"the hostel b rooms r too noisy, cant sleep 🛋️",Hostel,Hostel C,Medium
"the sports ground floods every time it rains, cant play 🏀",Civil / Infrastructure,Sports Ground,Medium
"the canteen food is too expensive, cant afford it 🍔",Mess / Canteen,Hostel D,High
"the wifi in lab is slow, cant even browse 📊",Electricity,Laboratory,Medium
"the profs r nt available for doubts, how r we supposed to learn? 🤔",General,Main Building,Low
"the hostel a rooms r too cold, no heater 🥶",Hostel,Hostel B,Medium
"i forgot my id card in the lab, can anyone pls return it? 📝",IT / Network,Laboratory,Low
"the hostel d rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel A,Medium
"the water supply in hostel c is dirty, cant drink 🚽",Water Supply,Hostel D,High
"the lab equipment is broken, how r we supposed to do experiments? 🧬",IT / Network,Laboratory,Medium
"the mess food is too oily, bad for health 🥗",Mess / Canteen,Hostel C,Low
"the campus is too dirty, nt clean 🚮",General,Campus (General),Medium
"the auditorium seats r too uncomfortable, cant sit 🛋️",Civil / Infrastructure,Auditorium,High
"the library is too quiet, cant even talk 🗣️",Library,Library,Low
"the hostel c rooms r too cold, no heater 🥶",Hostel,Hostel D,Medium
"the sports ground is too far, cant walk 🏃‍♂️",Transport,Sports Ground,Medium
"the canteen food is too spicy, cant eat 🌶️",Mess / Canteen,Hostel B,High
"the wifi in hostel a is slow, cant even browse 📊",Electricity,Hostel C,Medium
"the profs r nt teaching well, we r nt learning anything 📚",General,Main Building,Low
"the hostel b rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel A,Medium
"the water supply in hostel d is broken, no water 🚽",Water Supply,Hostel B,High
"the lab equipment is outdated, how r we supposed to do experiments? 🧬",Civil / Infrastructure,Laboratory,Medium
"the mess food is too expensive, cant afford it 🍔",Mess / Canteen,Hostel A,Low
"the campus is too big, cant find my way around 🗺️",General,Campus (General),Medium
"the auditorium ac is nt working, too hot 🥵",Civil / Infrastructure,Auditorium,High
"the library books r too old, nt relevant to our course 📖",Library,Library,Low
"the hostel d rooms r too noisy, cant sleep 🛋️",Hostel,Hostel C,Medium
"the sports ground floods every time it rains, cant play 🏀",Civil / Infrastructure,Sports Ground,Medium
"the canteen food is too oily, bad for health 🥗",Mess / Canteen,Hostel B,High
"the wifi in lab is slow, cant even browse 📊",Electricity,Laboratory,Medium
"the profs r nt available for doubts, how r we supposed to learn? 🤔",General,Main Building,Low
"the hostel c rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel D,Medium
"i lost my book in the lab, has anyone found it? 📖",General,Laboratory,Low
"the hostel a rooms r too cold, no heater 🥶",Hostel,Hostel B,Medium
"the water supply in hostel b is dirty, cant drink 🚽",Water Supply,Hostel A,High
"the lab equipment is broken, how r we supposed to do experiments? 🧬",IT / Network,Laboratory,Medium
"the mess food is too spicy, cant eat 🍴",Mess / Canteen,Hostel C,Low
"the campus is too dirty, nt clean 🚮",General,Campus (General),Medium
"the auditorium seats r too uncomfortable, cant sit 🛋️",Civil / Infrastructure,Auditorium,High
"the library is too quiet, cant even talk 🗣️",Library,Library,Low
"the hostel b rooms r too cold, no heater 🥶",Hostel,Hostel C,Medium
"the sports ground is too far, cant walk 🏃‍♂️",Transport,Sports Ground,Medium
"the canteen food is too expensive, cant afford it 🍔",Mess / Canteen,Hostel D,High
"the wifi in hostel d is slow, cant even browse 📊",Electricity,Hostel B,Medium
"the profs r nt teaching well, we r nt learning anything 📚",General,Main Building,Low
"the hostel a rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel A,Medium
"the water supply in hostel c is broken, no water 🚽",Water Supply,Hostel D,High
"the lab equipment is outdated, how r we supposed to do experiments? 🧬",Civil / Infrastructure,Laboratory,Medium
"the mess food is too oily, bad for health 🥗",Mess / Canteen,Hostel B,Low
"the campus is too big, cant find my way around 🗺️",General,Campus (General),Medium
"the auditorium ac is nt working, too hot 🥵",Civil / Infrastructure,Auditorium,High
"the library books r too old, nt relevant to our course 📖",Library,Library,Low
"the hostel c rooms r too noisy, cant sleep 🛋️",Hostel,Hostel B,Medium
"the sports ground floods every time it rains, cant play 🏀",Civil / Infrastructure,Sports Ground,Medium
"the canteen food is too spicy, cant eat 🌶️",Mess / Canteen,Hostel A,High
"the wifi in lab is slow, cant even browse 📊",Electricity,Laboratory,Medium
"the profs r nt available for doubts, how r we supposed to learn? 🤔",General,Main Building,Low
"the hostel d rooms r too small, cant even move around 🏃‍♂️",Hostel,Hostel C,Medium
"i forgot my id card in the lab, can anyone pls return it? 📝",IT / Network,Laboratory,Low
"the hostel b rooms r too cold, no heater 🥶",Hostel,Hostel D,Medium
"the water supply in hostel d is dirty, cant drink 🚽",Water Supply,Hostel B,High
"the lab equipment is broken, how r we supposed to do experiments? 🧬",IT / Network,Laboratory,Medium
"the mess food is too expensive, cant afford it 🍔",Mess / Canteen,Hostel C,Low
"the campus is too dirty, nt clean 🚮",General,Campus (General),Medium
"the auditorium seats r too uncomfortable, cant sit 🛋️",Civil / Infrastructure,Auditorium,High
"the library is too quiet, cant even talk 🗣️",Library,Library,Low
"the hostel a rooms r too cold, no heater 🥶",Hostel,Hostel A,Medium
"the sports ground is too far, cant walk 🏃‍♂️",Transport,Sports Ground,Medium
"the canteen food is too oily, bad for health 🥗",Mess / Canteen,Hostel B,High
"the wifi in hostel c is slow, cant even browse 📊",Electricity,Hostel D,Medium
"the profs r nt teaching well, we r nt learning anything 📚",General,Main Building,Low
"my wifi is nt working in hostel a, pls fix it asap",Electricity,Hostel A,High
"the food in mess is so bad 🤢, its like they cant even cook",Mess / Canteen,Main Building,Medium
"i need help with my lab report, prof is being super strict",IT / Network,Laboratory,Low
"hostel b is so dirty, we need more cleaning staff",Hostel,Hostel B,High
"i lost my phone in the library, cant find it anywhere 📵",General,Library,Medium
"the sports ground is in a bad condition, we cant play properly",Civil / Infrastructure,Sports Ground,High
"i cant access the wifi in lab, its so annoying",IT / Network,Laboratory,Medium
"the hostel a kitchen is closed, where do we eat now? 🍔",Hostel,Hostel A,Low
"the auditorium ac is not working, its so hot in there",Civil / Infrastructure,Auditorium,High
"im having trouble with my laptop, can someone pls help me",IT / Network,Main Building,Medium
"the water supply in hostel c is bad, we cant even take a bath",Water Supply,Hostel C,High
"i cant find any books in the library, its so frustrating 📚",Library,Library,Low
"the transport service is so bad, we cant even reach college on time",Transport,Campus (General),Medium
"the hostel d rooms are so small, we cant even move",Hostel,Hostel D,Low
"the it lab is closed, how do we do our assignments now? 🤔",IT / Network,Laboratory,High
"the main building lift is not working, its so inconvenient",Civil / Infrastructure,Main Building,Medium
"i need help with my project, prof is not guiding me properly",General,Laboratory,Low
"the mess food is so expensive, cant afford it",Mess / Canteen,Mess / Canteen,Medium
"the library is so quiet, cant even talk to my friends 🗣️",Library,Library,Low
"the sports ground is not well maintained, we cant play sports",Civil / Infrastructure,Sports Ground,High
"i lost my id card, cant enter the hostel",General,Hostel A,Medium
"the wifi in hostel b is so slow, cant even browse",IT / Network,Hostel B,Low
"the auditorium is not available for events, its so disappointing",Civil / Infrastructure,Auditorium,High
"the laboratory equipment is not working, cant do our experiments",IT / Network,Laboratory,Medium
"the hostel c kitchen is not clean, we cant cook",Hostel,Hostel C,Low
"the transport service is so unreliable, cant even reach home",Transport,Campus (General),Medium
"the library books are so old, cant even find new ones",Library,Library,Low
"the main building ac is not working, its so hot",Civil / Infrastructure,Main Building,High
"i need help with my assignment, cant understand the topic",General,Laboratory,Medium
"the mess food is so bad, cant even eat",Mess / Canteen,Mess / Canteen,Low
"the hostel d rooms are so dirty, we cant even live",Hostel,Hostel D,High
"the it lab is not well equipped, cant even do our projects",IT / Network,Laboratory,Medium
"the sports ground is not safe, we cant even play",Civil / Infrastructure,Sports Ground,Low
"i lost my phone in the auditorium, cant find it anywhere",General,Auditorium,Medium
"the wifi in hostel a is so fast, love it 😊",Electricity,Hostel A,Low
"the laboratory equipment is so old, cant even use it",IT / Network,Laboratory,High
"the hostel b kitchen is not available, where do we cook? 🍳",Hostel,Hostel B,Medium
"the library is so boring, cant even study",Library,Library,Low
"the transport service is so good, always on time",Transport,Campus (General),Medium
"the main building is so dirty, we cant even walk",Civil / Infrastructure,Main Building,High
"i need help with my project, cant even start",General,Laboratory,Low
"the mess food is so good, love it 🍴",Mess / Canteen,Mess / Canteen,Medium
"the hostel c rooms are so big, we love it",Hostel,Hostel C,Low
"the it lab is so helpful, always get help",IT / Network,Laboratory,High
"the auditorium is so nice, love the events",Civil / Infrastructure,Auditorium,Medium
"the sports ground is so nice, love playing sports",Civil / Infrastructure,Sports Ground,Low
"i lost my id card, cant even enter the college",General,Main Building,Medium
"the wifi in hostel d is so slow, cant even browse",IT / Network,Hostel D,Low
"the laboratory equipment is so new, love using it",IT / Network,Laboratory,High
"the hostel a kitchen is so clean, we love cooking",Hostel,Hostel A,Medium
"the library is so helpful, always get help",Library,Library,Low
"the transport service is so bad, cant even reach college",Transport,Campus (General),High
"the main building is so nice, love the architecture",Civil / Infrastructure,Main Building,Medium
"i need help with my assignment, cant even understand",General,Laboratory,Low
"the mess food is so expensive, cant afford",Mess / Canteen,Mess / Canteen,Medium
"the hostel b rooms are so small, we cant even move",Hostel,Hostel B,High
"the it lab is so boring, cant even study",IT / Network,Laboratory,Low
"the sports ground is so dirty, we cant even play",Civil / Infrastructure,Sports Ground,Medium
"i lost my phone in the library, cant find it anywhere",General,Library,Medium
"the wifi in hostel c is so fast, love it",Electricity,Hostel C,Low
"the laboratory equipment is so old, cant even use",IT / Network,Laboratory,High
"the hostel d kitchen is not available, where do we cook? 🍳",Hostel,Hostel D,Medium
"the library is so quiet, cant even talk",Library,Library,Low
"the transport service is so good, always on time",Transport,Campus (General),Medium
"the main building is so dirty, we cant even walk",Civil / Infrastructure,Main Building,High
"i need help with my project, cant even start",General,Laboratory,Low
"the mess food is so bad, cant even eat",Mess / Canteen,Mess / Canteen,Medium
"the hostel a rooms are so big, we love it",Hostel,Hostel A,Low
"the it lab is so helpful, always get help",IT / Network,Laboratory,High
"the auditorium is so nice, love the events",Civil / Infrastructure,Auditorium,Medium
"the sports ground is so nice, love playing sports",Civil / Infrastructure,Sports Ground,Low
"i lost my id card, cant even enter the college",General,Main Building,Medium
"the wifi in hostel b is so slow, cant even browse",IT / Network,Hostel B,Low
"the laboratory equipment is so new, love using it",IT / Network,Laboratory,High
"the hostel c kitchen is so clean, we love cooking",Hostel,Hostel C,Medium
"the library is so helpful, always get help",Library,Library,Low
"the transport service is so bad, cant even reach college",Transport,Campus (General),High
"the main building is so nice, love the architecture",Civil / Infrastructure,Main Building,Medium
"i need help with my assignment, cant even understand",General,Laboratory,Low
"the mess food is so expensive, cant afford",Mess / Canteen,Mess / Canteen,Medium
"the hostel d rooms are so small, we cant even move",Hostel,Hostel D,High
"the it lab is so boring, cant even study",IT / Network,Laboratory,Low
"the sports ground is so dirty, we cant even play",Civil / Infrastructure,Sports Ground,Medium
"i lost my phone in the auditorium, cant find it anywhere",General,Auditorium,Medium
"the wifi in hostel a is so fast, love it",Electricity,Hostel A,Low
"the laboratory equipment is so old, cant even use",IT / Network,Laboratory,High
"the hostel b kitchen is not available, where do we cook? 🍳",Hostel,Hostel B,Medium
"the library is so quiet, cant even talk",Library,Library,Low
"the transport service is so good, always on time",Transport,Campus (General),Medium
"the main building is so dirty, we cant even walk",Civil / Infrastructure,Main Building,High
"i need help with my project, cant even start",General,Laboratory,Low
"the mess food is so bad, cant even eat",Mess / Canteen,Mess / Canteen,Medium
"the hostel c rooms are so big, we love it",Hostel,Hostel C,Low
"the it lab is so helpful, always get help",IT / Network,Laboratory,High
"the auditorium is so nice, love the events",Civil / Infrastructure,Auditorium,Medium
"the sports ground is so nice, love playing sports",Civil / Infrastructure,Sports Ground,Low
"i lost my id card, cant even enter the college",General,Main Building,Medium
"the wifi in hostel d is so slow, cant even browse",IT / Network,Hostel D,Low
"the laboratory equipment is so new, love using it",IT / Network,Laboratory,High
"the hostel a kitchen is so clean, we love cooking",Hostel,Hostel A,Medium
"the library is so helpful, always get help",Library,Library,Low
"the transport service is so bad, cant even reach college",Transport,Campus (General),High
"the main building is so nice, love the architecture",Civil / Infrastructure,Main Building,Medium
"i need help with my assignment, cant even understand",General,Laboratory,Low
"the mess food is so expensive, cant afford",Mess / Canteen,Mess / Canteen,Medium
"the hostel b rooms are so small, we cant even move",Hostel,Hostel B,High
"the it lab is so boring, cant even study",IT / Network,Laboratory,Low
"the sports ground is so dirty, we cant even play",Civil / Infrastructure,Sports Ground,Medium
"i lost my phone in the library, cant find it anywhere",General,Library,Medium
"the wifi in hostel c is so fast, love it",Electricity,Hostel C,Low
"the laboratory equipment is so old, cant even use",IT / Network,Laboratory,High
"the hostel d kitchen is not available, where do we cook? 🍳",Hostel,Hostel D,Medium
"the library is so quiet, cant even talk",Library,Library,Low
"the transport service is so good, always on time",Transport,Campus (General),Medium
"the main building is so dirty, we cant even walk",Civil / Infrastructure,Main Building,High
"i need help with my project, cant even start",General,Laboratory,Low
"the mess food is so bad, cant even eat",Mess / Canteen,Mess / Canteen,Medium
"the hostel a rooms are so big, we love it",Hostel,Hostel A,Low
"the it lab is so helpful, always get help",IT / Network,Laboratory,High
"the auditorium is so nice, love the events",Civil / Infrastructure,Auditorium,Medium
"the sports ground is so nice, love playing sports",Civil / Infrastructure,Sports Ground,Low
"i lost my id card, cant even enter the college",General,Main Building,Medium
"the wifi in hostel b is so slow, cant even browse",IT / Network,Hostel B,Low
"the laboratory equipment is so new, love using it",IT / Network,Laboratory,High
"the hostel c kitchen is so clean, we love cooking",Hostel,Hostel C,Medium
"the library is so helpful, always get help",Library,Library,Low
"the transport service is so bad, cant even reach college",Transport,Campus (General),High
"the main building is so nice, love the architecture",Civil / Infrastructure,Main Building,Medium
"i need help with my assignment, cant even understand",General,Laboratory,Low
"the mess food is so expensive, cant afford",Mess / Canteen,Mess / Canteen,Medium
"the hostel d rooms are so small, we cant even move",Hostel,Hostel D,High
"the it lab is so boring, cant even study",IT / Network,Laboratory,Low
"the sports ground is so dirty, we cant even play",Civil / Infrastructure,Sports Ground,Medium
"i lost my phone in the auditorium, cant find it anywhere",General,Auditorium,Medium
"the wifi in hostel a is so fast, love it",Electricity,Hostel A,Low
"the laboratory equipment is so old, cant even use",IT / Network,Laboratory,High
"the hostel b kitchen is not available, where do we cook? 🍳",Hostel,Hostel B,Medium
"the library is so quiet, cant even talk",Library,Library,Low
"the transport service is so good, always on time",Transport,Campus (General),Medium
"the main building is so dirty, we cant even walk",Civil / Infrastructure,Main Building,High
"i need help with my project, cant even start",General,Laboratory,Low
"the mess food is so bad, cant even eat",Mess / Canteen,Mess / Canteen,Medium
"the hostel c rooms are so big, we love it",Hostel,Hostel C,Low
"the it lab is so helpful, always get help",IT / Network,Laboratory,High
"the auditorium is so nice, love the events",Civil / Infrastructure,Auditorium,Medium
"the sports ground is so nice, love playing sports",Civil / Infrastructure,Sports Ground,Low
"i lost my id card, cant even enter the college",General,Main Building,Medium
"the wifi in hostel d is so slow, cant even browse",IT / Network,Hostel D,Low
"the laboratory equipment is so new, love using it",IT / Network,Laboratory,High
"the hostel a kitchen is so clean, we love cooking",Hostel,Hostel A,Medium
"the library is so helpful, always get help",Library,Library,Low
"the transport service is so bad, cant even reach college",Transport,Campus (General),High
"the main building is so nice, love the architecture",Civil / Infrastructure,Main Building,Medium
"i need help with my assignment, cant even understand",General,Laboratory,Low
"the mess food is so expensive, cant afford",Mess / Canteen,Mess / Canteen,Medium
"the hostel b rooms are so small, we cant even move",Hostel,Hostel B,High
"the it lab is so boring, cant even study",IT / Network,Laboratory,Low
"the sports ground is so dirty, we cant even play",Civil / Infrastructure,Sports Ground,Medium
"i lost my phone in the library, cant find it anywhere",General,Library,Medium
"the wifi in hostel c is so fast, love it",Electricity,Hostel C,Low
"the laboratory equipment is so old, cant even use",IT / Network,Laboratory,High
"the hostel d kitchen is not available, where do we cook? 🍳",Hostel,Hostel D,Medium
"the library is so quiet, cant even talk",Library,Library,Low
"the transport service is so good, always on time",Transport,Campus (General),Medium
"the main building is so dirty, we cant even walk",Civil / Infrastructure,Main Building,High
"i need help with my project, cant even start",General,Laboratory,Low
"the mess food is so bad, cant even eat",Mess / Canteen,Mess / Canteen,Medium
"the hostel a rooms are so big, we love it",Hostel,Hostel A,Low
"the it lab is so helpful, always get help",IT / Network,Laboratory,High
"the auditorium is so nice, love the events",Civil / Infrastructure,Auditorium,Medium
"the sports ground is so nice, love playing sports",Civil / Infrastructure,Sports Ground,Low
"i lost my id card, cant even enter the college",General,Main Building,Medium
"the wifi in hostel b is so slow, cant even browse",IT / Network,Hostel B,Low
"the laboratory equipment is so new, love using it",IT / Network,Laboratory,High
"the hostel c kitchen is so clean, we love cooking",Hostel,Hostel C,Medium
"the library is so helpful, always get help",Library,Library,Low
"the transport service is so bad, cant even reach college",Transport,Campus (General),High
"the main building is so nice, love the architecture",Civil / Infrastructure,Main Building,Medium
"i need help with my assignment, cant even understand",General,Laboratory,Low
"the mess food is so expensive, cant afford",Mess / Canteen,Mess / Canteen,Medium
"the hostel d rooms are so small, we cant even move",Hostel,Hostel D,High
"the it lab is so boring, cant even study",IT / Network,Laboratory,Low
"the sports ground is so dirty, we cant even play",Civil / Infrastructure,Sports Ground,Medium
"i lost my phone in the auditorium, cant find it anywhere",General,Auditorium,Medium
"the wifi in hostel a is so fast, love it",Electricity,Hostel A,Low
"the laboratory equipment is so old, cant even use",IT / Network,Laboratory,High
"the hostel b kitchen is not available, where do we cook? 🍳",Hostel,Hostel B,Medium
"the library is so quiet, cant even talk",Library,Library,Low
"the transport service is so good, always on time",Transport,Campus (General),Medium
"the main building is so dirty, we cant even walk",Civil / Infrastructure,Main Building,High
"i need help with my project, cant even start",General,Laboratory,Low
"the mess food is so bad, cant even eat",Mess / Canteen,Mess / Canteen,Medium
"the hostel c rooms are so big, we love it",Hostel,Hostel C,Low
"the it lab is so helpful, always get help",IT / Network,Laboratory,High
"the auditorium is so nice, love the events",Civil / Infrastructure,Auditorium,Medium
"the sports ground is so nice, love playing sports",Civil / Infrastructure,Sports Ground,Low
"i lost my id card, cant even enter the college",General,Main Building,Medium
"the wifi in hostel d is so slow, cant even browse",IT / Network,Hostel D,Low
"the laboratory equipment is so new, love using it",IT / Network,Laboratory,High
the wifi in hostel a is super slow pls fix it,IT / Network,Hostel A,High
i cant study properly bc the lights in lab r nt working 🤦,Electricity,Laboratory,Medium
hostel b's mess food is disgusting 🤢,Mess / Canteen,Hostel B,Low
prof said we need to submit assignments online but the it network is down 📊,IT / Network,Main Building,High
the water supply in hostel c is nt clean 💧,Water Supply,Hostel C,Medium
i lost my phone in the auditorium can someone pls return it 📱,General,Auditorium,Low
the sports ground is in a bad condition 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the library is open till 10 pm but the wifi stops working at 8 pm 🕰️,IT / Network,Library,High
i need help with my project can i meet my prof in the lab 🤔,General,Laboratory,Low
the canteen food is expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
i want to book a room in hostel d but the website is nt working 📊,IT / Network,Hostel D,High
the hostel a's hostel fee is too high 🤑,General,Hostel A,Low
the lab equipment is nt working properly 🧬,Civil / Infrastructure,Laboratory,Medium
the campus is nt clean pls do something 🌳,Civil / Infrastructure,Campus (General),Medium
the transport facility is nt available after 6 pm 🚌,Transport,Main Building,High
the library is nt open on sundays 📚,Library,Library,Low
the hostel b's room is nt clean 🚮,Hostel,Hostel B,Medium
the it network is slow in the whole campus 🌐,IT / Network,Campus (General),High
i want to join a sports club but the sports ground is nt available 🏋️‍♀️,General,Sports Ground,Low
the mess food is nt hygenic 🤢,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt well equipped 🧬,Civil / Infrastructure,Laboratory,Medium
the auditorium ac is nt working 🌡️,Civil / Infrastructure,Auditorium,Medium
the library has limited books 📖,Library,Library,Low
the hostel c's hostel fee is too high 🤑,General,Hostel C,Low
the campus has no parking facility 🚗,General,Campus (General),Medium
the transport facility is nt reliable 🚌,Transport,Main Building,High
the sports ground has no proper lighting 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the library is nt open after 10 pm 🕰️,Library,Library,Low
the mess food is expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
the laboratory equipment is old 🧬,Civil / Infrastructure,Laboratory,Medium
the hostel d's room is nt available 🚪,Hostel,Hostel D,High
the it network is nt secure 🌐,IT / Network,Campus (General),High
the campus has no medical facility 🏥,General,Campus (General),Medium
the transport facility is nt available on sundays 🚌,Transport,Main Building,Low
the library has no e-books 📖,Library,Library,Low
the hostel a's mess food is nt good 🤢,Mess / Canteen,Hostel A,Medium
the sports ground has no proper drainage 🌧️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper seating 🛋️,Civil / Infrastructure,Auditorium,Medium
the laboratory is nt well maintained 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no proper waste management 🌳,General,Campus (General),Medium
the hostel b's room is nt spacious 🏠,Hostel,Hostel B,Low
the it network is slow in the lab 🌐,IT / Network,Laboratory,High
the library is nt well maintained 📖,Library,Library,Medium
the mess food is nt nutritious 🥗,Mess / Canteen,Mess / Canteen,Medium
the hostel c's hostel fee is too high 🤑,General,Hostel C,Low
the transport facility is nt comfortable 🚌,Transport,Main Building,Medium
the sports ground has no proper equipment 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper sound system 🎧,Civil / Infrastructure,Auditorium,Medium
the laboratory equipment is nt calibrated 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no proper security 🚨,General,Campus (General),High
the hostel d's mess food is nt good 🤢,Mess / Canteen,Hostel D,Medium
the it network is nt available in the hostel 🌐,IT / Network,Hostel A,High
the library has limited seating 🛋️,Library,Library,Low
the mess food is nt available after 10 pm 🍴,Mess / Canteen,Mess / Canteen,Low
the laboratory is nt open on sundays 📆,General,Laboratory,Low
the campus has no proper signage 📣,General,Campus (General),Medium
the transport facility is nt reliable 🚌,Transport,Main Building,High
the sports ground has no proper maintenance 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper ventilation 🌡️,Civil / Infrastructure,Auditorium,Medium
the hostel a's room is nt clean 🚮,Hostel,Hostel A,Medium
the it network is slow in the whole campus 🌐,IT / Network,Campus (General),High
the library is nt well equipped 📖,Library,Library,Medium
the mess food is expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
the laboratory equipment is old 🧬,Civil / Infrastructure,Laboratory,Medium
the hostel b's hostel fee is too high 🤑,General,Hostel B,Low
the campus has no parking facility 🚗,General,Campus (General),Medium
the transport facility is nt available after 6 pm 🚌,Transport,Main Building,High
the sports ground has no proper lighting 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper seating 🛋️,Civil / Infrastructure,Auditorium,Medium
the hostel c's room is nt spacious 🏠,Hostel,Hostel C,Low
the it network is nt secure 🌐,IT / Network,Campus (General),High
the library has limited books 📖,Library,Library,Low
the mess food is nt hygenic 🤢,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt well maintained 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no medical facility 🏥,General,Campus (General),Medium
the transport facility is nt reliable 🚌,Transport,Main Building,High
the sports ground has no proper equipment 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper sound system 🎧,Civil / Infrastructure,Auditorium,Medium
the hostel d's mess food is nt available 🍴,Mess / Canteen,Hostel D,Low
the it network is slow in the lab 🌐,IT / Network,Laboratory,High
the library is nt open after 10 pm 🕰️,Library,Library,Low
the mess food is expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
the laboratory equipment is nt calibrated 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no proper signage 📣,General,Campus (General),Medium
the transport facility is nt available on sundays 🚌,Transport,Main Building,Low
the sports ground has no proper maintenance 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper ventilation 🌡️,Civil / Infrastructure,Auditorium,Medium
